taps_from_fp,offset_m,background_mean,phase2_mean,background_sd,phase2_sd,sd_diff,sd_diff_pos,sd_diff_thresh,detected,n_background,n_phase2
21,3.31516652305733,1.86655732642707,2.3534914543748,0.104618518718025,0.438650076166014,0.334031557447989,0.334031557447989,0.0394434971959322,1,96,97
21.5,3.39106663940714,2.3452676561979,3.19244921129099,0.134361997111566,0.973887363553699,0.839525366442133,0.839525366442133,0.0506574468961278,1,96,97
22,3.46693060790088,3.27552215982288,4.36023488859892,0.174893760565957,1.25449408353843,1.07960032297248,1.07960032297248,0.0659388188535002,1,96,97
22.5,3.54276075072817,4.90658277635412,5.69339045057696,0.182354968016593,1.19123906451477,1.00888409649818,1.00888409649818,0.0687518592096786,1,96,97
23,3.61855919443084,6.97016008270828,7.26753386611171,0.159696398502216,0.836080065666945,0.676383667164729,0.676383667164729,0.0602090769751776,1,96,97
23.5,3.69432789017163,8.98498762270828,8.79573732222378,0.214307790567785,0.717601305031308,0.503293514463523,0.503293514463523,0.0807987805592054,1,96,97
24,3.77006863152383,10.3659067647916,9.76242335914001,0.271986335694936,0.874301330657463,0.602314994962526,0.602314994962526,0.102544868736196,1,96,97
24.5,3.84578307013019,10.3247737389792,9.66910829291189,0.293488487629219,0.984039772542729,0.69055128491351,0.69055128491351,0.110651655946711,1,96,97
25,3.92147272952395,8.77877737548964,8.18989931487965,0.292161284509102,0.684179042342284,0.392017757833182,0.392017757833182,0.110151270993949,1,96,97
25.5,3.99713901735979,5.973588797823,5.68546664103296,0.327419396507369,0.413431085630739,0.0860116891233707,0.0860116891233707,0.123444359624709,0,96,97
26,4.07278323626485,3.26796297308339,3.28100422221717,0.318841603629601,0.323885791058371,0.00504418742877016,0.00504418742877016,0.120210341847861,0,96,97
26.5,4.14840659348864,2.13925179653127,2.07318221578284,0.377644920377391,0.486041145217832,0.108396224840441,0.108396224840441,0.142380493821666,0,96,97
27,4.22401020950471,2.20310793689583,2.02007255758563,0.238819572645145,0.415356866719958,0.176537294074812,0.176537294074812,0.0900402649491876,1,96,97
27.5,4.29959512569498,2.27689723352083,2.17092541239873,0.192061878653538,0.325822105294021,0.133760226640483,0.133760226640483,0.0724115793737678,1,96,97
28,4.37516231122915,2.08730234098958,2.1232010931809,0.209651571393518,0.233118797722427,0.0234672263289088,0.0234672263289088,0.0790432828691757,0,96,97
28.5,4.45071266923624,2.28391080470833,2.31551657741669,0.178235626588112,0.224432470765974,0.0461968441778626,0.0461968441778626,0.0671987763131284,0,96,97
29,4.52624704235197,2.98624805279165,2.92134132630195,0.120989496300276,0.166050732157844,0.0450612358575683,0.0450612358575683,0.0456157181016838,0,96,97
29.5,4.60176621771467,3.76131131455206,3.57144312635217,0.16469081724024,0.156200011246588,-0.00849080599365204,0,0.0620920833864947,0,96,97
30,4.67727093147275,4.17647267203125,3.89274950147456,0.147694432838875,0.174642830676732,0.0269483978378571,0.0269483978378571,0.0556840702671053,0,96,97
30.5,4.75276187285877,3.95240563458334,3.67911866034953,0.165879245334874,0.245365634718547,0.0794863893836723,0.0794863893836723,0.0625401470829865,1,96,97
31,4.82823968787797,3.1868708923646,2.95179402915232,0.188733344035618,0.34352951448458,0.154796170448962,0.154796170448962,0.0711566481486151,1,96,97
31.5,4.90370498265342,2.48070935202086,2.35932173183139,0.384775925204076,0.499709176190353,0.114933250986276,0.114933250986276,0.14506904047987,0,96,97
32,4.97915832646442,2.74773967179164,2.85008445581973,0.334879971538012,0.574758392109941,0.239878420571929,0.239878420571929,0.126257161544552,1,96,97
32.5,5.05460025451074,4.05358157823954,4.24114523896274,0.253451779619822,0.740595506757643,0.487143727137821,0.487143727137821,0.0955569308497203,1,96,97
33,5.13003127043101,5.10615882373957,5.24992759388927,0.236883905243254,0.699731567450908,0.462847662207654,0.462847662207654,0.0893104754943726,1,96,97
33.5,5.20545184860066,4.83552079300001,5.01427864252712,0.23472269939149,0.595427369240586,0.360704669849096,0.360704669849096,0.0884956530518601,1,96,97
34,5.28086243623142,3.44442990351046,3.61031992138146,0.202701414747047,0.365782648511193,0.163081233764146,0.163081233764146,0.076422919977829,1,96,97
34.5,5.35626345529232,2.07528905612505,2.13330147250384,0.63852447749205,0.654612878539748,0.0160884010476976,0.0160884010476976,0.240737861194286,0,96,97
35,5.43165530426959,2.27596179376039,2.23507327118289,0.531245511455898,0.651476380133084,0.120230868677186,0.120230868677186,0.20029131647275,0,96,97
35.5,5.50703835978105,4.13493724001035,3.89626359528464,0.376045106141232,0.629038633876969,0.252993527735737,0.252993527735737,0.141777328444148,1,96,97
36,5.58241297805886,5.44831319409374,4.99066110835552,0.43930075987732,0.566618081925834,0.127317322048514,0.127317322048514,0.165626110011119,0,96,97
36.5,5.65777949631302,4.56420513386462,4.16595452855008,0.381469169092752,0.487108946211006,0.105639777118254,0.105639777118254,0.143822320233752,0,96,97
37,5.73313823398669,2.88448182042711,2.8060492792085,0.648688131736753,0.764933603936339,0.116245472199586,0.116245472199586,0.24456978380812,0,96,97
37.5,5.8084894939132,2.82135670962499,3.15038585557829,0.708629759390069,0.764317309403927,0.0556875500138579,0.0556875500138579,0.267169104188822,0,96,97
38,5.88383356338365,3.99048497044789,4.73431333488626,0.435619180499727,0.503581927965175,0.0679627474654479,0.0679627474654479,0.164238073097233,0,96,97
38.5,5.95917071513311,4.07654171720834,5.27231891418391,0.375030516622029,0.488987285550134,0.113956768928105,0.113956768928105,0.141394805738359,0,96,97
39,6.03450120825243,3.03733396039585,4.35281224332692,0.704976957895255,0.378093964245951,-0.326882993649304,0,0.265791917173717,0,96,97
39.5,6.10982528903241,3.29549475960416,3.64431665304723,0.804678422834085,0.511743491408012,-0.292934931426072,0,0.303381576260216,0,96,97
40,6.18514319174585,5.43244064551036,4.24499353542732,0.372011996203979,0.369650866825935,-0.00236112937804384,0,0.14025675672845,0,96,97
40.5,6.26045513937285,7.38111432467703,5.178014073426,0.421753751299022,0.408786076869986,-0.0129676744290356,0,0.159010499389442,0,96,97
