taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17,transition_17_to_18,transition_18_to_19,transition_19_to_20,transition_20_to_21,transition_21_to_22,transition_22_to_23,transition_23_to_24,transition_24_to_25,transition_25_to_26,transition_26_to_27,transition_27_to_28,transition_28_to_29,transition_29_to_30,transition_30_to_31,transition_31_to_32,transition_32_to_33,transition_33_to_34,transition_34_to_35,transition_35_to_36,transition_36_to_37,transition_37_to_38
-35.5,0.149285355735452,0.114529092055601,0.0834695398711731,0.0546674146727373,0.078170223839782,0.106078206011312,0.0832075357133037,0.191232874055599,0.173319045388892,0.0500905439759316,0.044631578152423,0.106521001730414,0.10608706869554,0.0528659641114952,0.0523776542134122,0.121408218668594,0.113494424484325,0.0411887666804419,0.133705120050886,0.107990862426696,0.202605786404072,0.130029757188364,0.0516589518155401,0.0850382830422563,0.158774941088559,0.0888548305152235,0.0886677348840102,0.13602924391596,0.145905083861654,0.0361003160988687,0.160772417839082,0.169749388314791,0.197604700583017,0.0959023034780694,0.164532388379754,0.121804551876549,0.0871277868681635
-35,0.142971820117085,0.141069733640424,0.109384661684828,0.0470624983034063,0.0569444331716718,0.121455029405242,0.16503711324241,0.202027963807584,0.176475717197997,0.0360349078060515,0.0447132124631914,0.0872730030985418,0.0785114697708543,0.07408747347017,0.0431971003615564,0.227635579062321,0.184015405805034,0.102517570731983,0.206550432334883,0.189693445176574,0.176154048617878,0.0827626065485569,0.0622218269515412,0.135177379507386,0.183891291211725,0.0996502014596996,0.0668310342747383,0.0936186277132858,0.122296334587557,0.0581537639244484,0.117786531860353,0.14191704661824,0.141398880238985,0.077130984042241,0.150017473199646,0.143313418987687,0.148949073044475
-34.5,0.100745166671297,0.115749296597992,0.124358966434748,0.0453931740148049,0.0149777254436184,0.0896150716195809,0.204463678791427,0.267228876258449,0.179513171897206,0.0625937388947661,0.0438397779369128,0.0898932194255066,0.0485109230571021,0.0559960100593376,0.103144285987629,0.211490372241933,0.175903400489601,0.151815532506177,0.214852175431544,0.184726849189838,0.12318745748419,0.0886948785248171,0.104082733352803,0.186730764816317,0.186086122426102,0.0832059025021318,0.0541829551761794,0.076656226343788,0.097672608921929,0.0564093148438701,0.0597929754487877,0.128523371745686,0.126025670651636,0.0418455013551356,0.120605119805427,0.153958360989909,0.192381019158414
-34,0.0812032012226507,0.0678764190922666,0.137786390124342,0.0686732516116347,0.0953718203960334,0.0429639550618556,0.222922458038901,0.350801187749882,0.194337490439887,0.0380645487023711,0.0236799665593064,0.0417342517541251,0.0676687408657556,0.0934333201567846,0.1300355957797,0.164096780270211,0.152532221938022,0.177716341219132,0.169013658270005,0.158235209776732,0.142908758367129,0.0890222784459404,0.176844441182904,0.227638366348385,0.166011017437429,0.069338783383868,0.0534647632613494,0.0699914391650457,0.0705784302717884,0.0463286756672277,0.0529049884352939,0.0901155228228206,0.152972884227825,0.058837744869852,0.0963474556744319,0.160605210979286,0.230192849622333
-33.5,0.0981042411260837,0.0636366237284971,0.159315575725065,0.0493751495447748,0.150197634838919,0.0630915922880242,0.234442982518939,0.324966226317287,0.158844870796993,0.00893354929391684,0.0125693437646426,0.113581097926198,0.0803759283590179,0.136290082475683,0.102765803189686,0.169523037709491,0.174680575681159,0.22393519271463,0.12129576542111,0.111680948460944,0.204269381495506,0.0760104394324005,0.225937809609746,0.253286196296742,0.18030870276676,0.100208230489696,0.062526955393652,0.0316558473954652,0.034597160646529,0.059891595896103,0.13652021488141,0.0719403100667553,0.208448441461967,0.115433409121361,0.11108579404589,0.147454778817399,0.245760134432692
-33,0.103453635299849,0.0742674819576811,0.1717157749907,0.0881579013890275,0.196094058911525,0.117717675604729,0.287114543224211,0.275589540181152,0.0946610806426697,0.0959203991911859,0.0462043780174245,0.162313038194709,0.0605968680516344,0.108931312179292,0.0664005629635324,0.181012823634607,0.211688634631631,0.2957230937535,0.156265989440455,0.118063404961274,0.272503301277548,0.036236133523558,0.237325006469101,0.264801906077967,0.21836236256309,0.140483714302213,0.0744448017748731,0.0827398718423027,0.029791375952098,0.0653337325519532,0.258011290718079,0.0688657677202621,0.308674550629058,0.145127944051345,0.171559488763056,0.152177999597066,0.295132669751365
-32.5,0.221206279331568,0.148085689909468,0.238910235551456,0.0787467277162677,0.260039048143155,0.240358770525794,0.443379716773725,0.366213663504132,0.0650080236414394,0.241090816992581,0.123562100200853,0.238731011525168,0.0964472173257001,0.0895145756314183,0.0258786217340981,0.315061591501299,0.327413655637964,0.429079905898736,0.324764295152141,0.102335541338151,0.361089777241809,0.0914174606863114,0.300852795716454,0.332617368890277,0.330850709497436,0.238505153375065,0.0400846906382715,0.264947718251948,0.0820124828056803,0.155502288204823,0.44922663919665,0.0437077740621539,0.387007893251724,0.154103030884861,0.269546371505797,0.189494828038097,0.385289729053101
-32,0.404392087445907,0.352612650770293,0.491706062363958,0.103251349812265,0.416555328864771,0.376840822840191,0.655220601203722,0.529368936471981,0.129194200704564,0.301923178131173,0.107171156630902,0.317059524352784,0.138341654093375,0.0781637452966291,0.0529063991161739,0.505597124761685,0.503800365560282,0.734226354457193,0.591637379441127,0.0678502827510252,0.530812354969727,0.0911617124186776,0.509996339898577,0.494869853154675,0.614274408683647,0.387654711062523,0.0591055975397745,0.512253800979233,0.18280199942999,0.25137072951342,0.663511116636532,0.0301512330198148,0.508753890285368,0.192575085598362,0.430570849725299,0.232224393172869,0.503115229375811
-31.5,0.622369372466509,0.573047573981587,0.704455555020411,0.12670702373296,0.672887699102307,0.51648364145484,0.842408621519926,0.728714483069039,0.220574267427775,0.344982918092277,0.139945243430883,0.389287711424342,0.181453999102263,0.0974395561976529,0.0892494240840695,0.667157781973659,0.606762922411912,0.975831661888943,0.818832449026664,0.0980089109083133,0.780105148671107,0.123714765355705,0.733935401528238,0.691609585602694,0.856588729201395,0.487088193439504,0.0786405627971042,0.698632716198147,0.226226399019584,0.31096699443031,0.874905262087926,0.0497246692714123,0.687105372251292,0.255376433184602,0.601096997573607,0.289716530575838,0.716406418347068
-31,0.819151252070732,0.677953453611695,0.759502604652572,0.05984530469428,0.91495432473247,0.659959937308804,1.01725895920714,0.945558331539741,0.303099630938057,0.386187701977095,0.181009142967409,0.420823359367333,0.178235743752151,0.147025126390864,0.107614041518594,0.851332974366953,0.700627511829538,1.07815179464374,0.991525958835759,0.124891339945199,0.978017897851769,0.0790711023368169,0.866315998210024,0.910903457577485,1.00702861688566,0.541837099078344,0.104557318342712,0.819446341017958,0.211548770414079,0.314355202553219,1.10035110542438,0.0142559505476342,0.890681988762664,0.289305251257001,0.714014891049267,0.339869080440534,0.900564033323529
