taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4
92,0.808693753500743,1.20661728121191,1.45233731535576
92.5,0.919333884546483,1.29191135999755,1.63811918400015
93,0.867123490518607,1.19123994297581,1.56905532148857
93.5,0.68777285302736,0.926688045996606,1.41689395877371
94,0.405034355262831,0.556581976910605,0.925552857964617
94.5,0.117129624520488,0.181834137476634,0.490402323610585
95,0.155335725018993,0.368795953164587,0.418326932976805
95.5,0.364854618181166,0.673953727596502,0.835677956396329
96,0.468588758232103,0.830511102507719,0.992149589878683
96.5,0.522006791413264,0.780451029962851,1.05166014843854
97,0.429991472119534,0.609957950392168,0.763405949587686
97.5,0.303207991911127,0.411204223623173,0.448842105386896
98,0.270037272601288,0.241688459410706,0.222365771928241
98.5,0.266520385120553,NaN,NaN
99,NaN,NaN,NaN
99.5,NaN,NaN,NaN
100,NaN,NaN,NaN
