FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
136,866840521711,750.125,750,1204,-63.35,700,0.7,150,01_raw_frames\frame_0136.csv,02_lde_aligned\frame_0136_aligned.csv,13.5000800677177
137,873230317871,748.0625,748,1285,-66.69,698,0.7,150,01_raw_frames\frame_0137.csv,02_lde_aligned\frame_0137_aligned.csv,13.6000806336232
138,879620114049,753.2344,753,1037,-59.79,703,0.7,150,01_raw_frames\frame_0138.csv,02_lde_aligned\frame_0138_aligned.csv,13.7000811998103
139,886009910152,749.5937,749,1138,-61.79,699,0.7,150,01_raw_frames\frame_0139.csv,02_lde_aligned\frame_0139_aligned.csv,13.8000817648237
140,892399706359,753.1719,753,1213,-65.89,703,0.7,150,01_raw_frames\frame_0140.csv,02_lde_aligned\frame_0140_aligned.csv,13.9000823314647
141,898789502419,749.7031,749,1173,-64.11,699,0.7,150,01_raw_frames\frame_0141.csv,02_lde_aligned\frame_0141_aligned.csv,14.0000828958052
142,905179298544,753.9062,753,1300,-64.22,703,0.7,150,01_raw_frames\frame_0142.csv,02_lde_aligned\frame_0142_aligned.csv,14.1000834611629
143,911569094057,749.1875,749,1412,-65.12,699,0.7,150,01_raw_frames\frame_0143.csv,02_lde_aligned\frame_0143_aligned.csv,14.2000840169427
144,917958890094,751.9219,751,1598,-70.46,701,0.7,150,01_raw_frames\frame_0144.csv,02_lde_aligned\frame_0144_aligned.csv,14.3000845809232
145,924348686157,738.6406,738,1338,-65.89,688,0.7,150,01_raw_frames\frame_0145.csv,02_lde_aligned\frame_0145_aligned.csv,14.4000851453106
146,930738482188,749.9062,749,1152,-62.74,699,0.7,150,01_raw_frames\frame_0146.csv,02_lde_aligned\frame_0146_aligned.csv,14.5000857091972
147,937128278156,753.2656,753,1400,-66.4,703,0.7,150,01_raw_frames\frame_0147.csv,02_lde_aligned\frame_0147_aligned.csv,14.6000862720979
148,943518074160,746.7187,746,1153,-62.45,696,0.7,150,01_raw_frames\frame_0148.csv,02_lde_aligned\frame_0148_aligned.csv,14.7000868355619
149,949907869554,748.4219,748,1463,-68.31,698,0.7,150,01_raw_frames\frame_0149.csv,02_lde_aligned\frame_0149_aligned.csv,14.8000873894794
150,956297665504,750.2656,750,1141,-63.77,700,0.7,150,01_raw_frames\frame_0150.csv,02_lde_aligned\frame_0150_aligned.csv,14.9000879520984
151,962687461495,750.7969,750,1362,-66.09,700,0.7,150,01_raw_frames\frame_0151.csv,02_lde_aligned\frame_0151_aligned.csv,15.000088515359
152,969077257334,752.1406,752,1166,-65.29,702,0.7,150,01_raw_frames\frame_0152.csv,02_lde_aligned\frame_0152_aligned.csv,15.1000890762407
153,975467053222,745.0156,745,1171,-65.34,695,0.7,150,01_raw_frames\frame_0153.csv,02_lde_aligned\frame_0153_aligned.csv,15.2000896378894
154,981856848558,745.4687,745,1381,-68.21,695,0.7,150,01_raw_frames\frame_0154.csv,02_lde_aligned\frame_0154_aligned.csv,15.3000901908992
155,988246644399,753.25,753,1374,-68.75,703,0.7,150,01_raw_frames\frame_0155.csv,02_lde_aligned\frame_0155_aligned.csv,15.4000907518123
156,994636440194,752.8594,752,1448,-70.58,702,0.7,150,01_raw_frames\frame_0156.csv,02_lde_aligned\frame_0156_aligned.csv,15.5000913120055
157,1001026235979,752.4219,752,1289,-68.13,702,0.7,150,01_raw_frames\frame_0157.csv,02_lde_aligned\frame_0157_aligned.csv,15.6000918720421
158,1007416031718,751.1562,751,1497,-70.03,701,0.7,150,01_raw_frames\frame_0158.csv,02_lde_aligned\frame_0158_aligned.csv,15.7000924313589
159,1013805827542,749.9531,749,1523,-67.6,699,0.7,150,01_raw_frames\frame_0159.csv,02_lde_aligned\frame_0159_aligned.csv,15.800092992006
160,1020195622812,747.2031,747,1287,-63.81,697,0.7,150,01_raw_frames\frame_0160.csv,02_lde_aligned\frame_0160_aligned.csv,15.9000935439829
161,1026585418388,746.0469,746,2030,-80.63,696,0.7,150,01_raw_frames\frame_0161.csv,02_lde_aligned\frame_0161_aligned.csv,16.0000941007487
162,1032975214150,738.25,738,1814,-73.1,688,0.7,150,01_raw_frames\frame_0162.csv,02_lde_aligned\frame_0162_aligned.csv,16.1000946604254
163,1039365009842,749.7969,749,1219,-63.48,699,0.7,150,01_raw_frames\frame_0163.csv,02_lde_aligned\frame_0163_aligned.csv,16.2000952190067
164,1045754804969,745.4219,745,1448,-68.76,695,0.7,150,01_raw_frames\frame_0164.csv,02_lde_aligned\frame_0164_aligned.csv,16.3000957687456
165,1052144600617,751.2344,751,1169,-62.76,701,0.7,150,01_raw_frames\frame_0165.csv,02_lde_aligned\frame_0165_aligned.csv,16.4000963266382
166,1058534396225,747.1719,747,1147,-64.66,697,0.7,150,01_raw_frames\frame_0166.csv,02_lde_aligned\frame_0166_aligned.csv,16.5000968839049
167,1064924191815,750.8906,750,1192,-64.85,700,0.7,150,01_raw_frames\frame_0167.csv,02_lde_aligned\frame_0167_aligned.csv,16.6000974408898
168,1071313987363,747.5,747,1240,-66.62,697,0.7,150,01_raw_frames\frame_0168.csv,02_lde_aligned\frame_0168_aligned.csv,16.7000979972174
169,1077703782411,751.1094,751,1283,-65.74,701,0.7,150,01_raw_frames\frame_0169.csv,02_lde_aligned\frame_0169_aligned.csv,16.80009854572
170,1084093577985,754.1719,754,1293,-68.95,704,0.7,150,01_raw_frames\frame_0170.csv,02_lde_aligned\frame_0170_aligned.csv,16.9000991024546
171,1090483373367,748.6562,748,1821,-73.53,698,0.7,150,01_raw_frames\frame_0171.csv,02_lde_aligned\frame_0171_aligned.csv,17.0000996561843
172,1096873168918,751.1406,751,1493,-69.52,701,0.7,150,01_raw_frames\frame_0172.csv,02_lde_aligned\frame_0172_aligned.csv,17.1001002125588
173,3751336069,752.8437,752,1589,-68.71,702,0.7,150,01_raw_frames\frame_0173.csv,02_lde_aligned\frame_0173_aligned.csv,17.2001007591678
174,10141131532,746.3281,746,1297,-63.07,696,0.7,150,01_raw_frames\frame_0174.csv,02_lde_aligned\frame_0174_aligned.csv,17.3001013141652
175,16530926891,747.6094,747,1417,-66.16,697,0.7,150,01_raw_frames\frame_0175.csv,02_lde_aligned\frame_0175_aligned.csv,17.4001018675349
176,22920722311,748.2656,748,1271,-64.49,698,0.7,150,01_raw_frames\frame_0176.csv,02_lde_aligned\frame_0176_aligned.csv,17.5001024218593
177,29310517580,748.0312,748,1236,-62.87,698,0.7,150,01_raw_frames\frame_0177.csv,02_lde_aligned\frame_0177_aligned.csv,17.6001029738206
178,35700312907,748.6406,748,1150,-62,698,0.7,150,01_raw_frames\frame_0178.csv,02_lde_aligned\frame_0178_aligned.csv,17.7001035266896
179,42090107684,747.7656,747,1444,-66.48,697,0.7,150,01_raw_frames\frame_0179.csv,02_lde_aligned\frame_0179_aligned.csv,17.800104070951
180,48479902937,746.3594,746,1148,-61.82,696,0.7,150,01_raw_frames\frame_0180.csv,02_lde_aligned\frame_0180_aligned.csv,17.9001046226619
181,54869698189,753.1094,753,1339,-64.99,703,0.7,150,01_raw_frames\frame_0181.csv,02_lde_aligned\frame_0181_aligned.csv,18.0001051743571
182,61259493408,750.8437,750,1160,-62.46,700,0.7,150,01_raw_frames\frame_0182.csv,02_lde_aligned\frame_0182_aligned.csv,18.1001057255359
183,67649288579,748.0625,748,1323,-63.59,698,0.7,150,01_raw_frames\frame_0183.csv,02_lde_aligned\frame_0183_aligned.csv,18.2001062759634
