taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17,transition_17_to_18,transition_18_to_19,transition_19_to_20,transition_20_to_21,transition_21_to_22,transition_22_to_23
-6.5,0.195062031947694,0.167074152634046,0.0662310822674107,0.0448223005545977,0.0424901945879275,0.130469560661291,0.168668977285893,0.0778522689830561,0.128908489171983,0.0701949635077665,0.0799065537559085,0.126082572282808,0.0546023443521233,0.0358537310839707,0.174889997872712,0.176943323712091,0.0783829502724161,0.106710891737191,0.133647802958655,0.0791203774476495,0.0741764756825712,0.103683745826715
-6,0.131711087350877,0.113871872527284,0.0944194461288096,0.0225081182620273,0.038623145601595,0.11113786767569,0.143017341875682,0.116094929876335,0.181935010926741,0.056631238496452,0.0609598206138031,0.117191667293603,0.0843648740195105,0.0620427340039374,0.200119504311235,0.224330860409029,0.098421533449313,0.118032339203271,0.0917665519243732,0.043484190629079,0.0334283645736901,0.0662564104556906
-5.5,0.0752369381745683,0.0893421893422957,0.0908652156719244,0.038358459673127,0.0593744886938458,0.0761265829362503,0.0832883789704209,0.107239190314253,0.181111215495138,0.07830768694173,0.0728471899319381,0.0818179991937102,0.116054346743454,0.0991010026428629,0.176446225521045,0.168351562336746,0.0673394893757877,0.117393287214061,0.0349904355698786,0.0272034574098633,0.026900413843587,0.0516127143727001
-5,0.0580705259815219,0.127087483813843,0.12199852375586,0.114595573547502,0.0769720912160956,0.117665576840943,0.072113732034069,0.0591624288670764,0.152305681191376,0.0996716680280526,0.14485356320228,0.105159664391529,0.0957096987577001,0.0775112115053003,0.107567921704757,0.108685815887955,0.0237070415377439,0.13293509682138,0.0515489548801332,0.0422537794173381,0.0865687556436662,0.0447227403473394
-4.5,0.0234965648858778,0.192676423758637,0.191511726391641,0.16612510344994,0.0696088110332879,0.287227110959674,0.214577000088196,0.0829540405710567,0.158450759212584,0.184282452303355,0.221073393485897,0.151644868017396,0.111831783566938,0.0795581299144277,0.0585620276203892,0.119372780598471,0.0759126872639603,0.142991622721476,0.0986036147547503,0.0805311073622485,0.151615149890705,0.123189480899546
-4,0.206617789268546,0.414122327130635,0.414728859277224,0.176166243689066,0.121012896332273,0.548248618567219,0.380705572832411,0.120218525476292,0.392520758007876,0.373224770590394,0.337172948955955,0.244984607933386,0.140706021423477,0.0990403323191125,0.021794377545601,0.163495428149064,0.282623948228804,0.197243666751273,0.14511695820893,0.385097403297389,0.356109038760238,0.268865536256327
-3.5,0.514606577859988,0.768906322673725,0.786430811330592,0.18365697495559,0.317592174481425,1.11350422625679,0.774432298326211,0.1248238861822,0.919799426828801,0.900977099185049,0.511972155484282,0.370606500989955,0.237582870998711,0.114618556585889,0.0115080402504902,0.704218870118404,0.263826457636178,0.512128835772387,0.16402580909225,0.809303138857561,0.692452520025151,0.562811847039928
-3,1.2368284381841,1.25804270422374,1.27616428734083,0.240609570731728,0.611393386860447,1.95295640445353,1.34594805470012,0.108029069035583,1.41332637858606,1.36374619274855,0.746908237755706,0.486295845894212,0.332597081703108,0.110181372221211,0.0508105772200093,1.32245332822826,0.568670561901742,1.12889412461439,0.289783420737591,1.57362452294255,1.37278058025781,0.969534917152431
-2.5,1.83560061856789,1.73843803240653,1.91854541359599,0.370576181712272,0.837433458005594,2.67665331688195,1.88121641239891,0.0826160956755676,1.95481953629949,1.9461368596381,1.0314369368485,0.705207079453088,0.374411542623916,0.119057618745224,0.048634208883006,2.20803715686414,0.833320995649193,1.71030678426209,0.457399788138435,2.50610652355792,2.23888808830798,1.26805949705359
-2,2.41809323403301,2.08598659302607,2.34869104120619,0.552067728197823,1.02335545421371,3.37119815296687,2.35474766172055,0.163860608000919,2.47768428654732,2.59581305742417,1.23655518340153,0.675169378420294,0.531662487122361,0.103905387345774,0.0826332161033559,3.17801503034792,1.61003152856189,2.34640555746357,0.552644499374205,2.97495396905161,2.82290379749459,1.56602667546732
-1.5,2.75731606830201,2.32500635426626,2.77119745751445,0.826931242635332,1.21689285266688,3.85888081038562,2.55830044552876,0.302867829423116,2.68064446220588,2.9196162220469,1.62929751282459,0.957510153470073,0.739418361768981,0.331914704551488,0.302987113072751,3.55638491291941,1.37840443271303,2.85930643768629,0.725160077288583,3.34456076606896,3.49975723837939,1.8722870545654
-1,3.81767554383898,3.62885909950866,3.15740241428928,1.27202356801749,1.67892574817989,5.50445715402232,3.43308030049498,0.394927424240006,3.80630076372905,4.17606277530827,2.71383390032233,1.87671424520981,1.33219503180832,1.12074830738345,0.816480608472502,4.40767873352884,2.91270923345129,3.48451253111263,1.2488062400894,3.21385295542666,4.67187776590844,2.94364354338204
-0.5,5.55306017515361,5.31482144427606,4.55671387582842,1.64184868359063,2.41119555425864,9.03140091949734,6.02251990746214,0.569335509204514,7.22809992187359,7.50897703147453,4.38372777115581,3.36586863340772,2.02040875788316,2.01826360691097,1.52772250000647,7.03091783670597,2.81687608624425,5.15716976913513,1.7628588511463,5.00356478125915,7.73733181637657,5.14123776750315
0,8.24621693579263,8.70146583889749,7.04966953194289,2.05485398483899,3.4545826825294,14.2692846927786,9.88334582878057,0.668393072767576,11.24855073876,11.7458893371361,6.51108617709908,5.19879599024638,3.0516438678194,3.48520440252893,2.52261362339172,11.4610296780828,4.64898289172152,8.39579935179678,2.18378330973432,7.72282820650922,11.5253705234117,8.18965724897608
0.5,10.8677232920838,11.6255717223167,10.9218995990072,2.08701718392248,4.30577681775137,18.5665044425268,12.9346009127626,1.21144801906818,13.771250756144,15.0917023404826,8.8924290437771,7.28979350390764,4.05550974668025,4.86279326765689,3.50104467456123,15.2254594018084,5.89349910697509,11.595054131886,2.46490355001422,10.9041311580122,15.6559192369872,10.7032173223209
1,11.9532453892581,13.3433240659352,15.3551285263039,2.95539769322523,5.16984187884666,21.8685908018463,14.4678230011189,1.39038971066235,15.9004141630271,18.1643245416057,11.1586284655064,8.35462119726883,5.16047088750118,5.40519252120435,3.80475959533417,18.7442337215241,6.67512931233849,13.3419135195755,3.26453500398621,13.1623497886229,17.8161132810057,12.7649954325075
1.5,12.8434489954531,14.6514985822725,19.6673241625938,5.18886973745299,5.87393489382372,23.5210446498791,14.737613555928,2.69295224356297,14.5048046753524,18.8039998927362,13.0607315105109,9.16512829697664,6.2298146990998,6.19199649856686,4.41081371016707,19.6679518048767,7.20814262490455,14.867086599751,5.42812758158381,14.7984966925379,18.7968327245605,13.752602809489
2,12.875240460338,14.7718552108245,25.0427226786191,8.78435779358206,6.57043761225014,23.6102867716988,13.1311890371739,3.65931714416683,12.3752924478744,18.867917215604,15.4292537060447,8.92747315511845,8.16578892308895,8.92749358016084,6.9444924764677,19.8359302834619,7.2065092682423,15.1412247343132,9.75046248515258,18.3879242545803,18.4885833860702,13.6982089122742
2.5,12.6874753254694,14.7384665285302,28.8219239829681,11.2136753725136,7.67235055933366,22.7964771449689,11.0042750207921,4.65713133130114,9.37490470897037,18.2861981733038,17.3500932247378,8.43914568002479,10.8340461024452,14.4080923800851,12.1734546141256,19.0527789671442,7.19249714878266,15.2822582252267,14.1756834444724,22.0956129610923,17.7211933146041,12.9223944347866
3,12.2221882160319,14.1221661229433,30.4499969400423,11.8696233020043,8.78320113708556,21.133765209804,8.72961639279164,5.76781500240103,6.68996725612838,17.9618433572121,18.7452076747504,7.14355208973017,13.9218613887149,21.0614480602517,18.1487394276231,18.4676804785643,7.3590596659906,14.7402866887472,16.5024187843733,23.8812278988131,16.0707320871642,11.6056826543136
3.5,11.5953717101679,13.0018183665603,30.5382426155065,11.631706238533,10.2994998230109,18.6459748170317,5.94093522781356,6.06328539494769,5.26208234051024,17.7100618095727,19.7239740497251,5.69726785338045,17.1747318310154,27.8371930386887,23.9563730303394,17.9201265988648,6.73808857366979,13.9810251712259,18.5782867375755,25.0649740777487,14.3623221164345,10.1994577327174
4,10.1228156235213,11.4339568527014,28.5434769035286,10.8055370722204,11.1594844178722,15.6419451285915,3.47110681316361,6.3607936047134,5.82376002370196,17.6186062563703,18.7879677219727,4.13981078469466,18.3268083014199,30.5532164637834,27.1073590456574,17.9977303665609,6.99994475672719,12.1663435302177,18.7166337826158,23.1974699107604,12.4253858302799,9.30073026638362
4.5,8.95952787452669,9.16469429304757,25.4698272177127,10.1622842179245,11.4590941396236,12.3279702202319,2.78096179307403,6.33999696602313,7.73933515980661,17.5472857474166,17.6970734973032,2.55063305556707,19.1592035160738,32.7424790135769,28.7895767574147,17.6482386534597,5.92401491977943,10.2931408335795,18.7338955904296,20.5690134025232,11.1253638370715,9.16535321294503
5,6.63549743351104,6.97346008539279,22.0647370060135,9.47670989363633,11.2229954464524,9.10848984270738,4.40811533453538,6.01725286267853,9.91172411227394,17.0016045321546,15.455803779506,1.56128672584942,19.0061261290239,32.6908690357926,28.7507829433385,17.7305801443881,5.20483968538874,7.75534258299196,18.3385334712251,17.6817904753446,10.4415999848077,9.16259270557697
5.5,5.05972922370497,5.26018784104947,18.4025339876017,8.50950303202939,10.4096989079932,6.73960685830601,6.30959371367483,5.62634604704138,10.4055379660669,15.8155229737679,13.3648722806436,0.900194299262567,18.7224631904313,32.2681935163455,27.7193357997258,16.8006278874762,4.44504583868991,5.74511785563319,17.8741690722073,15.0902210186831,10.5523529526225,9.10389740769708
6,3.56435336385746,3.76242370087225,14.9787616339498,6.83896694992237,9.38914564604713,4.94205139582222,6.93480869257313,4.78838661790825,10.5891849336541,13.8527386665349,10.6936155258694,0.593154329342394,17.8498087710897,30.181045546532,25.2304468125958,15.9916430303437,2.79506381432835,4.15475423739867,16.9581774676799,13.7324197252597,9.83301137221278,8.16847355043576
6.5,2.76829253015549,3.23359675835525,11.9619909545957,5.12806067869881,8.01248674576663,3.63528382351799,6.72025010781268,3.88854082944588,8.69108132822464,10.8921997341906,8.25545720709407,0.486205593198458,16.9257308034841,27.8484084506255,22.0644782955115,13.6893082650388,2.42747192804444,3.13994001159045,15.8826661234094,13.0028294244921,8.81570711764809,7.01342864559675
7,1.95227811844555,2.06979528346827,8.97148915099132,2.89533184701953,6.65592490634013,2.33479001307963,5.922372145336,3.20717757053172,6.96697588448332,8.18624692351536,6.04613362109863,0.412222289630704,14.9991891289891,23.6894837445178,17.8262381436021,11.3479516401114,1.49709099658946,1.98553541328377,13.1442547367837,11.1045771467993,7.07486185336247,5.36437203366891
7.5,1.53516181579282,1.40410083655846,6.88713052265689,2.03679302514734,5.07042251123199,1.70061918470311,4.94457017277516,2.3760558882534,5.07236437104502,5.67491382229355,4.17058663381398,0.450725419800832,13.1720020209696,19.7210189153585,13.7017077452779,8.29848733085103,1.20538526384262,1.2996692183508,10.790081845543,9.63637124093627,5.34888653689091,3.96782789787126
8,1.04398538558159,0.851419172896496,4.87938096186821,1.81100018402359,3.74087913282521,1.68429364558186,4.36204301298952,2.19767364710947,4.16529149307986,4.20609437165081,2.89437306169608,0.487414424165468,10.0782703144058,14.8974030599079,10.1492827629569,5.83097758132293,0.79059836278336,1.01930588492897,7.93498413011697,7.11843156199162,4.3997228337994,2.9328265542296
8.5,1.11728091626639,1.15324376993272,3.42068651792045,1.94104810603669,2.57954962537796,1.96991095662993,3.63769990766004,1.6254677963652,3.40628511843342,3.86329528160027,2.16918699933273,0.454040413988218,7.42951570561187,10.9498896636008,7.46222725228786,4.58611216227036,0.979535759634225,1.31955695094112,5.85769809855306,4.87558502099582,3.95901589080882,2.4459813492184
9,1.22336012116926,1.20360849781852,2.01381326725641,1.3437169970982,1.64671189429959,1.96197245829019,2.75450574292046,1.30350252955074,2.800093450116,3.33993853665694,1.5686178559754,0.451119882153014,5.34017309179928,7.82653881766817,5.52581940279959,4.27046886831189,0.783452255562185,1.40915293280397,4.01289397809931,3.05794415941179,3.63047584308666,2.14695492731832
9.5,1.2750464333756,1.47961543550635,2.09277328055507,1.22011579316195,0.878238823387704,1.83235031152839,1.61351885732185,0.743341159612851,1.74875291963629,2.94154375325233,1.58172729988499,0.415884405801165,3.8263322184577,5.3601148066333,3.86749182720076,3.86630845866512,0.837972652124548,1.44044570585871,2.26538422557815,1.08331937653302,3.22817375629843,1.94196898513981
