taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17
-16.5,0.187101327773701,0.220458523874824,0.172563873697552,0.173522884346541,0.117003104297336,0.131365568851656,0.0175192222233965,0.216702529352014,0.0921621707706435,0.0605441494098814,0.0425701979681062,0.0994017910087605,0.0999727385509433,0.222682814218256,0.132397153635173,0.204038258165903
-16,0.226183133999399,0.334084729950774,0.278747349195967,0.272930980758936,0.174157341316459,0.139854532578105,0.0898044026722696,0.317319444066297,0.124680795281019,0.0184364527714584,0.0647405481909458,0.226434617502267,0.073094751840475,0.306297836730962,0.21061965045142,0.26172070063353
-15.5,0.190624401860789,0.314496042001491,0.27734095272678,0.291332077298374,0.194347688259765,0.139413855119688,0.132438586534821,0.318555523474764,0.127615453178072,0.0392097906820817,0.101763231457404,0.22525169193899,0.0424704881467816,0.281091201661854,0.266867676990113,0.291548410225573
-15,0.154904130863695,0.273849894684701,0.261237511679084,0.275405705868614,0.141273819371366,0.0893605053946643,0.176030613247909,0.287323630047327,0.120450396113886,0.10373355995906,0.115179972111619,0.201383699885243,0.0298453776960208,0.217428123863567,0.268476688904125,0.241134230835912
-14.5,0.0698209869488434,0.105580077734715,0.169916703732695,0.172240764704838,0.0637988609179059,0.0748516011465306,0.115309966631772,0.140432503438297,0.0405503986415367,0.125916019374338,0.108305901429163,0.124280889553636,0.0253007222455085,0.112611864472801,0.181611289703545,0.134988604580245
-14,0.0840550631679115,0.0695979221942046,0.0915588828457399,0.0813192639359104,0.0261168002267419,0.0304044876243023,0.0322902233379724,0.0290563037480241,0.0470648936474183,0.11767793737438,0.0788298332632257,0.0443594358538759,0.0391917008542981,0.0130699650236231,0.0296242090209386,0.0159953192168288
-13.5,0.0935354953432374,0.160291560982409,0.0115518049462354,0.0216741297807426,0.00775704723972661,0.037953977685186,0.0266643752686595,0.105420727506639,0.0550044055219924,0.0306175884243774,0.0166717145594873,0.0499019870169093,0.0887144119715323,0.0821427149117199,0.0662692204873698,0.0738892109507738
-13,0.100467559217124,0.241318710525172,0.0629590610277137,0.0232915937190562,0.019475530931614,0.108438588794371,0.0315546354769816,0.171939386742898,0.0661765059564263,0.0998021940552018,0.0676342827749229,0.0979397959740227,0.13536163889699,0.103615585847151,0.105862531374669,0.0894434328479814
-12.5,0.0593873324244227,0.126242139341795,0.0174746124246823,0.0357290020949761,0.0763437689163394,0.134627809782565,0.0466166918036551,0.0977747104067229,0.0508504028927038,0.0567366890161099,0.0498215998917039,0.0734887005643605,0.126094357674966,0.0823665333215588,0.10967287869968,0.0855193406254558
-12,0.0335094767905092,0.0414370110037617,0.0307386276194088,0.0825803466617985,0.0714679948648418,0.0866462005981657,0.0393580161500849,0.0218599269969773,0.0716819303702821,0.0277627661658789,0.031366014849527,0.0438583293775805,0.110637188358111,0.0646922128774102,0.0920168232001343,0.11326786416816
-11.5,0.00926945457490076,0.0321172023096067,0.0824018959364173,0.151897607388491,0.101532808639342,0.0498818353045848,0.043561686109888,0.0709449137976274,0.07940895802435,0.00480641850800264,0.036906304529286,0.0191506444074043,0.0247418144835775,0.0546499277110129,0.0568291002219565,0.113794579900676
-11,0.0428539339102247,0.06890520884868,0.122077685153529,0.185236984052744,0.11701777421321,0.0292537519341834,0.0536040338904398,0.141538116960507,0.0925114375308861,0.0400862020176229,0.0450250800767651,0.0328077075524529,0.0683366963736547,0.126209709397616,0.105311052985406,0.0922601145590014
-10.5,0.0571385619464619,0.11066883449689,0.127367692514832,0.133150622237834,0.111810519590133,0.025761169621783,0.0609951738774911,0.142367568532185,0.0836990721881617,0.0802119709730088,0.0683566170874842,0.0515746970128318,0.0474621638024736,0.105857117861358,0.12090045329408,0.0933610793641953
-10,0.0728642653788674,0.146732569865664,0.125616927869825,0.0824543451351503,0.117355264200512,0.0610326907835937,0.0827363204767458,0.144202401588029,0.0611972091480225,0.10887379993336,0.0871013466038431,0.0557660676231698,0.041518974050506,0.0621547435648724,0.0806667682431842,0.119792833346289
-9.5,0.0898886085542649,0.123111444815511,0.0921540898915122,0.0352967014819108,0.109576964004483,0.0597089756470501,0.0854253122108712,0.107233535601301,0.0275733526866024,0.0654420465230255,0.0816021460210306,0.0646320673166594,0.0369695340806103,0.0718601806627613,0.058826417021923,0.156221379158417
-9,0.103729278283789,0.0992195028382592,0.0596115696686052,0.0221574021760766,0.0792236802114519,0.0337175250621443,0.0647504846061247,0.0858909392710572,0.0918052150686986,0.0429997865182283,0.0682497822723659,0.0596932021756107,0.0320280108135598,0.0958937845402607,0.0598106220378383,0.150797208107655
-8.5,0.0983852094415778,0.0962627449643927,0.0189538668358232,0.0513158335361585,0.074688115342548,0.0211862597056225,0.0593797196826252,0.0719814977174403,0.0623069475879687,0.0124955642237983,0.0579117377340668,0.0612141752621066,0.0258714364131688,0.0995072461711842,0.0554791382417431,0.128900621562724
-8,0.0953760162797457,0.116998073762959,0.0207053331254525,0.0384017467457034,0.0632605038022008,0.0166181198661501,0.0588904450248975,0.0594801164270156,0.0264587341382351,0.0245145978959766,0.0708706393951893,0.069954110347004,0.0670588814764963,0.0804541915516029,0.0529283509415522,0.103048181014147
-7.5,0.0921312175143164,0.116698888776888,0.0776344508131061,0.0783307884500229,0.0823007543668341,0.0413590538417268,0.0762925358923962,0.0400933766956066,0.0796079027545895,0.0475587606589027,0.0228742590830581,0.026654414656092,0.0703743511880534,0.0493621854148321,0.0302522580731655,0.0756888476243614
-7,0.0939383480374542,0.108103450310772,0.120225579524414,0.146846877080045,0.101677667413184,0.108488013284419,0.132195688307409,0.0708831741297829,0.123514852339206,0.0929356424722034,0.0249687287202001,0.0362477520126969,0.0665968080142438,0.13606159923283,0.0709210547452968,0.1248569168682
-6.5,0.0986208854472934,0.0887942124592164,0.111192801048182,0.138420572149958,0.0789121538898989,0.144925750614671,0.139137279061362,0.134717646340488,0.0933977356409703,0.0399631670779253,0.00761309177385982,0.136352265915076,0.0482320693086663,0.153679245956555,0.09834273030798,0.142769314972036
-6,0.184140918285657,0.141278934582518,0.108757140356424,0.109507340829489,0.0870491791839771,0.124564750377994,0.103709737908721,0.200330303350294,0.0958136661234714,0.02479846533296,0.0285936438307845,0.236627315168135,0.151249094955084,0.143978112119973,0.101945526783244,0.121966679685744
-5.5,0.189874013105371,0.170173500867327,0.122503138073009,0.100159891365427,0.0956615559638963,0.141183350850135,0.131456359339191,0.171174092901743,0.0690776832334606,0.0182963594097059,0.0311055795131969,0.201280330456462,0.0939582046509747,0.150990462963083,0.100459308777231,0.123536358477098
-5,0.19129273008037,0.192993012948349,0.135303845250434,0.141140600381519,0.0680814390321707,0.132396297578718,0.178213441588699,0.132018777449634,0.0396314706084655,0.00744620656494559,0.0204039849961883,0.148927217958374,0.0634949266230119,0.145505802168189,0.0859320498540711,0.136974975127997
-4.5,0.0796785470281671,0.117555562055093,0.11799199343926,0.140920163815758,0.061016979575391,0.096819109455298,0.159581154814114,0.079067717799145,0.0439916446609652,0.0672196211229541,0.0304081745085582,0.0748892239965403,0.0198183233393257,0.0797258574234315,0.0740229033574212,0.155763876475591
-4,0.0377226772530692,0.0395606184680521,0.0981570698814692,0.115514107409311,0.0155907401412318,0.0515804854646435,0.141192054096195,0.0566964048494409,0.0530180396133791,0.102072077256282,0.0511763200612495,0.0352440428161118,0.0246795195401599,0.0572356795718627,0.0759409389423986,0.115066040587017
-3.5,0.0875954532163242,0.0509919468453327,0.0456207732798024,0.0252482988885815,0.0708814278287351,0.0465116198144386,0.0831295600616437,0.0248575413802147,0.0421530454780232,0.0850347319451399,0.0371673884044556,0.0453702638278713,0.0269458249849375,0.0282773050399203,0.0550597118606819,0.0686694510335622
-3,0.143277553548875,0.0890521245303572,0.0159305252338014,0.0581243903134137,0.0614936946521371,0.017072061452676,0.0448833491903873,0.0676930967134137,0.0667896589271593,0.0851500539671125,0.0382103198462906,0.0686072867780212,0.0435686446004315,0.0114716390609922,0.0909671116008174,0.0779349213245712
-2.5,0.249514588880008,0.194882191921351,0.113535911114688,0.111446241989328,0.0724696717672634,0.0536396687444764,0.0689531540772352,0.178242858192227,0.0876964452400479,0.0834944764290212,0.0778391938457246,0.146768781062546,0.0752425547525784,0.107263413097051,0.236300655704438,0.165498088201891
-2,0.368941089399502,0.483043618373804,0.437337355293813,0.473915868343114,0.32155632373386,0.131969345670457,0.162315208002296,0.417118304101982,0.109210149218237,0.161348769377766,0.271772713076519,0.384954657424738,0.0771768324723251,0.352534714932851,0.477066512818008,0.333546536980878
-1.5,1.47226097522025,2.17190067747855,1.55316403157317,1.52741292323035,0.785233168354939,0.582766356857998,0.77072369510461,1.41302135346187,0.392451397164588,0.651482375885317,0.728717173596151,1.49181347947104,0.0532830161448545,1.7091219085931,1.70964758736168,1.19099485159695
-1,2.6402691962661,4.39973581881683,3.54767580484761,3.82472506295605,2.49838011651829,1.07742985070912,1.59960315598488,3.14837818492885,0.616957313497216,1.29221311703139,1.72958405233563,3.18072971181417,0.082273521807589,3.96183536970793,3.90919171213133,3.14424152751894
-0.5,6.78166645343292,10.6383110457705,8.4192063914308,8.93146091467171,5.01289510946184,2.52446081526427,4.01090826149893,7.82822095608553,1.46819898069568,3.2841959427977,3.60426411672831,7.60361809631187,0.181953286765589,9.0564240580615,8.51349191235218,6.55620809445825
0,11.077189827302,17.1074119397555,13.5588440840818,14.6371483788958,9.16436102159317,4.32950717986277,6.73052110959879,13.2909617274108,2.41611902314111,5.12490540176016,5.83881072693729,12.5443164931528,0.244908148253957,15.6535235660091,15.3075768886423,12.5109204138575
0.5,14.8581957476742,23.085918263406,19.4893138703835,21.7619057126771,13.4836685300863,6.55368188526879,9.61486967919716,19.3794557127901,3.07405714348791,7.46859567752662,8.60097886104834,17.9825096404725,0.39036781312344,21.7653315751357,21.1586000742031,17.4915899041915
1,18.6904129632587,28.3115325166752,23.9972079160268,26.8294168806463,16.3052309283007,7.63274762139157,11.9282804156703,24.6150701779842,3.98668940957603,9.23315107718047,10.4261097197806,22.6631411733279,0.354640609733099,26.9669209352864,25.9996419580059,21.6004918939751
1.5,17.6521805211661,27.0465839840016,23.7776805721512,27.4377134912635,17.3047905477486,8.44780239468609,12.283962225347,24.9299884222996,3.78646721643727,9.15582282304917,10.7046223343707,22.5535775322717,0.446363122363368,27.2176551832966,27.0131877832427,22.8239229353621
2,16.7997409982703,25.2640727765039,22.4348860055585,26.0606122731686,15.8255864535779,7.53642749765601,11.3677094902014,24.0380830474971,3.53325252691417,8.71864957256092,9.92009918236404,21.50622022824,0.420099686044787,25.1578984224828,24.5383642457865,20.6277644708239
2.5,12.882937641181,19.3924623329953,17.2428862803101,20.4807789808064,12.7381011782466,6.41235534558717,9.34922147874039,18.9132540536021,2.63243556402602,6.67623493475908,7.56464014987155,16.5788096115054,0.364662943344867,20.1397683446653,20.4213522218144,17.2279327347063
3,10.4109223323811,15.6465540387436,13.7921547339886,16.639837882961,10.0711247985038,5.38163736793473,7.37499968391816,14.7772345035266,1.65214856676671,5.53683074587669,5.85457962073819,12.9691171898228,0.460762154985688,15.7982098249084,15.9116646958384,13.0161429641041
3.5,9.84771814038759,14.8711480670447,12.7728966813999,15.032039333483,9.43534128547948,4.23998531448847,6.52883918319547,13.5114766989177,1.70580741900033,4.95277149094772,5.35467228016356,11.9808856282953,0.363040757424308,14.6836530613675,14.4584279817999,12.0445315216917
4,10.3415472699551,15.5455131148455,13.093258177911,15.0633259895304,8.88161344423044,4.57587915502255,7.24405013865122,13.9195332116725,1.7536718586859,5.4081730938471,5.51065622647578,12.3517206316432,0.313097064014841,15.0974641590389,14.9241698867723,12.0826710644903
4.5,8.68697292162,13.1085636257932,11.5821300709161,13.7007916962834,8.92524363916429,4.50818925459022,6.1598762815693,12.671112000022,1.7535416049993,4.65888824891284,5.19225512993581,10.9655656055679,0.275281583154097,13.6686618405154,13.770516965463,11.6365469119451
5,7.3861323993852,10.8585484776234,9.74085626421217,11.6002723361576,7.03500953790442,3.26113006375036,4.92217746783185,11.0481966484626,1.57804804284393,3.70054774560079,4.26944326992738,9.41171880649271,0.147129463933839,11.027539373261,10.8406370089419,9.08325914535918
5.5,7.06716952576715,10.3791053174068,8.21285354473929,9.59519013911736,5.17776355049205,3.10710031617334,4.70617971067812,8.66050616210233,0.547886029543597,3.36296912526062,3.24153075203264,7.75038139696848,0.185206136405642,9.52779913817547,9.66673349238329,7.28370562433098
6,10.1428988564112,15.3027093805253,11.825964036271,13.2235664384281,8.0232503631707,4.38810326692622,6.43360108712034,11.5471317294021,1.26164691906371,5.101087830379,4.89863019195107,10.7886197411471,0.371981708014076,13.8843026440034,13.7857904636004,10.7515590535008
6.5,13.5343471882087,21.1522472479697,17.8658820392618,19.9873231141648,13.0414070994136,5.26103224020388,8.62804231771022,17.9823371374333,3.07747648007418,6.89706489035463,7.95493678612706,16.3738134129472,0.44633015077905,20.0164785064699,19.2582800331243,16.4543334686074
7,16.8077172366055,26.0635807602906,22.2469435318161,24.6969437389694,14.7416777829517,7.20464078917544,11.8052950311345,22.797906084364,3.67783952852247,9.29778657913435,9.87792094499304,20.6606908187524,0.514505933739625,24.7598998501138,24.0450193604855,19.892088904203
7.5,15.4783971995461,24.6138935298222,22.1408385032704,25.0145920599276,17.2098629459725,6.82456675287499,10.4104118592634,23.1098337533511,4.66155034429679,8.44656088394633,10.6003246064982,20.6851877479693,0.549266229901383,24.9461702759517,24.2260041570702,21.8329559810914
8,15.4549580491549,24.8219059614951,22.1220429275586,24.4880372247288,15.0106391090406,6.45679222627803,11.1357236228512,23.2795899819396,4.9496344770111,8.57122059153379,10.5633312789189,20.8566564524125,0.542569263777994,24.2221180393755,23.3826370904949,20.3715792503362
8.5,14.5448003553048,23.5924723215258,21.1845340544054,23.6733440776678,15.9118847708964,7.06996417129352,9.80037554273865,21.944635671195,4.86130454353035,8.0722809267226,10.5320280357156,19.7941095723714,0.6104846932236,23.6853482000278,22.8504309482456,20.461867806661
9,17.2143528685682,27.3455869050857,23.9070689289479,26.2025449539938,16.2184032973673,6.68212636070137,11.4125888251157,25.0173468558463,5.75608576130327,9.09792330298741,11.4011115904005,22.6577556576416,0.498670597944183,26.2987584031005,24.8424520420732,21.6473853471068
