taps_from_fp,mti_mean_abs_frame_difference,background_mti_mean,threshold,detected_peak
44,0.359073277193874,0.225749383749973,0.890640633132122,0
44.5,0.404576952520398,0.259242709375002,0.890640633132122,0
45,0.420339313704099,0.188316902333344,0.890640633132122,0
45.5,0.406490545724493,0.179562119916668,0.890640633132122,0
46,0.291607008989801,0.148623776187478,0.890640633132122,0
46.5,0.309604259724503,0.173591662031249,0.890640633132122,0
47,0.421229670908161,0.149558281093764,0.890640633132122,0
47.5,0.396504815602041,0.148263887677085,0.890640633132122,0
48,0.379502481214302,0.158076618093756,0.890640633132122,0
48.5,0.480150740663274,0.36345265778128,0.890640633132122,0
49,0.494141173785752,0.338521824864574,0.890640633132122,0
49.5,0.514441974551048,0.339597768020757,0.890640633132122,0
50,0.538351752612241,0.371254992958303,0.890640633132122,0
50.5,0.615088254408142,0.434967988812518,0.890640633132122,0
51,0.476047837061277,0.263944344104172,0.890640633132122,0
51.5,0.432973663693852,0.280731828718721,0.890640633132122,0
52,0.38356444387761,0.428296578239593,0.890640633132122,0
52.5,0.438265091826551,0.344190555989559,0.890640633132122,0
53,0.343373626908179,0.201065288843766,0.890640633132122,0
53.5,0.366518092265275,0.175273698843751,0.890640633132122,0
54,0.401220022346931,0.274997218197938,0.890640633132122,0
54.5,0.354044562275509,0.22980892542708,0.890640633132122,0
55,0.310732297602042,0.216404304802026,0.890640633132122,0
55.5,0.329651614214267,0.234374896593757,0.890640633132122,0
56,0.305268208622453,0.17171572159375,0.890640633132122,0
56.5,0.25552365780613,0.191987104906238,0.890640633132122,0
57,0.223574271275532,0.194256360281259,0.890640633132122,0
57.5,0.226072659234704,0.16265661742708,0.890640633132122,0
58,0.208923622724504,0.148733919572921,0.890640633132122,0
58.5,0.27346616572448,0.140208695281262,0.890640633132122,0
59,0.308931240275514,0.135276841510425,0.890640633132122,0
59.5,0.380483690183673,0.196454816614597,0.890640633132122,0
60,0.313341172000009,0.149940177656256,0.890640633132122,0
60.5,0.290549666183686,0.118943323916663,0.890640633132122,0
61,0.234907289489801,0.116939085562494,0.890640633132122,0
61.5,0.236726903948962,0.131167427041674,0.890640633132122,0
62,0.262565527377568,0.132942200479175,0.890640633132122,0
62.5,0.264743802357151,0.141816955541662,0.890640633132122,0
63,0.284165773602049,0.139888470729164,0.890640633132122,0
63.5,0.317881810040821,0.157564627604165,0.890640633132122,0
64,0.307794059816328,0.205880279166673,0.890640633132122,0
64.5,0.33264205183673,0.211371119770824,0.890640633132122,0
65,0.261220389632638,0.169952129875011,0.890640633132122,0
65.5,0.199392948846939,0.117846132468748,0.890640633132122,0
66,0.191987115989803,0.0928570734479164,0.890640633132122,0
66.5,0.220227281428562,0.116447882802086,0.890640633132122,0
67,0.201643985693872,0.0870098561979217,0.890640633132122,0
67.5,0.237163187836722,0.118095979708334,0.890640633132122,0
68,0.256253973510209,0.118043989,0.890640633132122,0
68.5,0.22277002285714,0.128401757333334,0.890640633132122,0
69,0.191088736142855,0.116892224729166,0.890640633132122,0
69.5,0.171594008591825,0.145130099145832,0.890640633132122,0
70,0.201067869571435,0.177829099145833,0.890640633132122,0
70.5,0.252885180102034,0.17930187420833,0.890640633132122,0
71,0.244696281816318,0.154615316583341,0.890640633132122,0
71.5,0.261197022091838,0.154098176968742,0.890640633132122,0
72,0.280562199744884,0.174927619656254,0.890640633132122,0
72.5,0.33025636109183,0.163876671427056,0.890640633132122,0
